"","daf2chd7_rep1","daf2chd7_rep2","daf2chd7_rep3","daf2chd7_rep4","daf2chd7_rep5","daf2_rep1","daf2_rep2","daf2_rep3","daf2_rep4","daf2_rep5"
"2L52.1",177,200,181,179,298,134,124,118,253,122
"2RSSE.1",890,871,700,621,1142,938,653,719,903,432
"4R79.2",31,58,36,33,55,54,68,74,92,33
"6R55.2",1,1,1,2,0,4,1,1,1,0
"AC3.5",3005,3061,2360,2061,5951,2561,2958,2761,2891,1496
"AC7.3",0,0,0,1,0,1,0,0,1,0
"AH10.2",0,0,1,0,2,0,0,0,2,0
"AH10.3",53,68,77,67,111,64,64,75,65,31
"AH6.17",0,0,0,0,3,0,0,0,0,0
"AH6.3",0,0,0,1,0,0,0,2,0,1
"AH9.1",54,42,45,34,47,56,40,39,59,22
"AH9.3",114,120,108,74,85,73,73,65,101,64
"AH9.4",19,15,19,17,28,19,18,27,32,7
"AH9.6",291,361,247,175,332,217,183,204,202,98
"B0001.2",95,50,68,107,113,183,124,242,205,94
"B0001.3",397,364,363,331,476,430,357,456,612,345
"B0001.4",261,236,282,203,349,313,208,239,351,199
"B0001.5",264,210,233,242,342,310,234,286,554,259
"B0001.7",20,21,22,49,32,91,52,105,65,53
"B0001.8",187,198,176,163,266,211,212,267,369,190
"B0019.2",280,312,240,208,408,408,315,401,449,245
"B0024.10",293,232,235,211,424,283,364,391,373,212
"B0024.11",318,315,345,304,542,446,403,465,643,333
"B0024.13",129,103,112,125,134,174,118,181,170,105
"B0024.15",63,74,63,53,107,40,87,81,95,49
"B0024.3",163,162,147,108,219,232,275,252,204,103
"B0024.4",6,6,4,21,5,0,44,10,4,1
"B0025.4",122,120,128,125,200,142,147,145,201,92
"B0034.1",146,184,132,97,160,56,44,35,50,38
"B0034.2",0,1,0,0,1,1,1,1,1,0
"B0034.4",12,11,8,8,10,7,12,7,7,2
"B0034.5",15,16,20,17,31,18,24,24,23,10
"B0034.7",3,0,0,0,1,5,2,3,3,2
"B0035.1",482,507,521,432,680,729,607,584,720,412
"B0035.13",96,116,106,76,179,3,59,51,14,18
"B0035.15",206,183,203,156,246,226,232,292,308,152
"B0035.18",14,8,7,14,6,18,15,22,12,11
"B0035.21",3,7,1,4,4,2,2,2,1,2
"B0035.3",246,256,247,203,340,353,496,440,445,263
"B0035.6",46,22,51,107,61,168,90,216,168,103
"B0041.1",2,4,0,4,3,3,1,4,2,1
"B0041.11",415,357,384,356,621,400,303,392,1615,850
"B0041.5",422,322,468,446,479,395,338,370,877,466
"B0041.8",196,200,203,186,267,268,231,286,287,173
"B0198.2",25,19,24,21,52,19,18,25,40,13
"B0198.3",112,86,84,60,134,102,66,116,122,68
"B0205.1",201,184,202,171,237,237,130,232,262,119
"B0205.10",0,2,0,0,3,3,0,0,0,0
"B0205.12",66,54,53,51,73,76,104,68,87,47
"B0205.13",34,22,29,29,54,5,15,12,19,12
"B0205.14",12,9,13,15,15,16,10,20,8,4
"B0205.4",195,221,165,108,174,63,84,88,92,59
"B0205.5",7,4,2,2,6,3,3,3,4,0
"B0205.6",940,920,788,669,1067,962,685,653,885,495
"B0205.8",295,301,251,255,324,335,232,274,360,176
"B0205.9",146,141,170,142,180,252,159,202,263,153
"B0207.1",1,3,0,2,4,113,63,53,27,15
"B0207.10",183,172,143,136,220,97,123,92,183,100
"B0207.11",0,0,1,0,1,1,0,0,0,0
"B0207.2",53,44,48,29,49,33,59,69,53,31
"B0207.5",8,2,1,9,7,10,3,7,9,10
"B0207.6",110,101,90,96,124,139,110,137,150,68
"B0207.7",3,3,2,6,4,4,0,3,5,2
"B0207.8",0,1,0,0,4,2,2,5,3,2
"B0207.9",1,6,3,0,6,1,2,0,2,0
"B0212.3",43,52,57,37,75,58,48,56,76,45
"B0218.5",4,0,1,5,1,3,0,0,0,0
"B0218.7",0,1,1,1,0,1,0,0,0,0
"B0222.1",152,210,167,152,326,122,140,115,224,110
"B0222.10",9,1,0,0,2,5,1,3,4,2
"B0222.11",12,15,8,7,13,26,36,35,58,26
"B0222.15",19,16,9,20,22,23,21,12,20,7
"B0222.5",822,800,871,789,1073,614,554,603,936,493
"B0228.1",57,45,42,31,59,41,67,66,49,15
"B0228.6",124,118,82,68,142,105,96,96,120,50
"B0228.7",959,806,723,580,846,1170,775,747,1147,620
"B0228.9",0,0,0,0,0,1,0,1,1,0
"B0238.1",2135,2268,1819,1596,2504,2522,2145,1909,2388,1325
"B0238.11",575,576,528,452,739,983,906,924,955,543
"B0238.12",379,227,273,256,522,657,1815,1802,411,362
"B0238.15",0,0,0,0,1,0,0,1,0,2
"B0238.7",22,29,40,37,92,44,76,67,128,41
"B0238.9",13,6,6,113,22,149,88,220,125,109
"B0244.10",52,50,31,23,36,33,32,32,45,27
"B0244.11",0,0,1,0,1,1,0,0,0,0
"B0244.15",2,1,1,0,1,0,1,3,1,1
"B0244.16",1,3,1,1,2,0,0,1,2,0
"B0244.17",1,0,1,1,3,2,2,4,0,2
"B0244.4",17,11,10,9,8,9,7,4,11,2
"B0244.5",1,0,0,0,0,2,3,5,5,4
"B0244.6",11,10,8,8,12,4,10,10,13,4
"B0244.7",1,0,0,0,1,0,0,1,0,0
"B0244.9",0,0,0,0,1,1,0,1,0,0
"B0250.18",20,22,13,14,31,25,8,12,22,17
"B0250.5",128,133,173,125,239,181,150,172,203,128
"B0250.7",11,12,7,22,11,29,25,35,27,15
"B0250.8",2,1,0,0,3,0,1,0,0,0
"B0252.1",34,35,21,16,24,37,16,26,20,4
"B0252.3",755,825,988,776,1522,940,724,733,1398,722
"B0252.5",11,9,4,3,9,3,2,2,1,0
"B0252.8",79,89,118,75,174,120,167,109,220,100
"B0261.1",477,402,556,481,792,563,395,535,731,468
"B0261.7",71,29,43,113,66,220,102,245,125,104
"B0261.8",141,142,206,128,239,146,213,149,240,130
"B0261.9",2,3,1,0,1,0,1,0,1,0
"B0272.3",385,420,452,303,654,354,380,300,681,285
"B0272.4",431,527,479,331,910,495,560,399,559,272
"B0273.1",7,6,2,1,8,9,9,15,7,3
"B0273.115",1,1,2,0,1,0,1,0,2,0
"B0280.11",0,1,1,1,1,0,0,1,0,0
"B0280.13",60,57,55,45,54,43,39,43,54,30
"B0280.2",11,4,6,6,8,0,2,0,1,1
"B0280.7",4,0,2,0,7,0,2,1,3,3
"B0280.9",542,556,571,458,848,820,687,694,965,485
"B0281.3",74,57,58,40,39,26,35,44,12,13
"B0281.4",1,0,1,0,0,0,0,0,0,0
"B0281.5",1,1,2,0,1,0,1,3,0,1
"B0281.6",2,5,2,3,5,2,2,3,0,0
"B0284.3",241,204,171,147,452,111,75,108,165,85
"B0285.3",153,130,137,119,170,199,171,154,139,96
"B0285.4",424,433,419,293,554,559,526,509,534,300
"B0285.6",24,19,12,16,35,17,35,16,38,16
"B0286.1",277,312,281,218,323,264,196,211,271,123
"B0294.1",208,187,350,181,311,56,62,42,171,77
"B0294.3",3,10,2,4,7,0,0,0,3,5
"B0302.2",0,0,0,0,1,0,0,3,1,2
"B0302.5",331,323,437,281,402,236,274,273,350,230
"B0303.11",1557,1642,1617,1327,2849,1925,1323,1671,2345,1290
"B0303.14",112,117,137,116,179,154,121,132,230,114
"B0303.3",1405,1468,1809,1314,2542,1125,820,766,1536,833
"B0303.4",998,807,864,780,1042,1040,594,730,991,616
"B0303.7",292,304,356,282,367,391,275,307,493,266
"B0304.2",26,19,14,50,31,72,47,84,37,41
"B0304.4",64,41,31,30,51,108,66,115,67,29
"B0310.1",86,76,95,47,97,13,16,7,19,12
"B0310.2",95,119,52,53,150,116,60,51,227,97
"B0310.3",76,88,73,54,131,74,68,65,95,46
"B0310.6",7,2,8,2,2,5,4,7,3,1
"B0334.13",9,8,3,3,5,3,4,6,5,0
"B0334.20",0,0,0,0,1,0,0,1,0,1
"B0334.3",5991,5671,4020,3668,4058,3224,2251,2257,2131,1283
"B0334.4",285,320,275,250,404,363,447,499,427,221
"B0334.5",154,148,179,163,190,186,137,182,224,128
"B0334.6",22,9,11,5,27,4,4,3,9,3
"B0336.12",51,52,44,38,31,15,11,5,9,1
"B0336.13",58,46,57,62,69,86,64,98,90,59
"B0336.3",2109,1806,2331,1892,2902,2610,1404,1584,2518,1414
"B0336.5",112,100,139,118,145,188,137,161,159,86
"B0336.7",139,130,161,138,256,183,162,200,214,116
"B0348.1",1,0,0,0,0,0,0,0,0,1
"B0348.10",10,10,10,4,19,13,6,8,2,3
